Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,1.0,2.0,-2.5,-1.0,-6.0,9.0
LG,-5.5,0.0,-4.5,-3.5,-8.0,-6.5,-11.5,3.5
SK,-1.0,4.5,0.0,1.0,-3.5,-2.0,-7.0,8.0
넥센,-2.0,3.5,-1.0,0.0,-4.5,-3.0,-8.0,7.0
두산,2.5,8.0,3.5,4.5,0.0,1.5,-3.5,11.5
롯데,1.0,6.5,2.0,3.0,-1.5,0.0,-5.0,10.0
삼성,6.0,11.5,7.0,8.0,3.5,5.0,0.0,15.0
한화,-9.0,-3.5,-8.0,-7.0,-11.5,-10.0,-15.0,0.0
