Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.5,-5.5,-1.5,15.0,-2.5,-4.0,-2.0,-6.0,-1.0
LG,-3.5,0.0,-9.0,-5.0,11.5,-6.0,-7.5,-5.5,-9.5,-4.5
NC,5.5,9.0,0.0,4.0,20.5,3.0,1.5,3.5,-0.5,4.5
SK,1.5,5.0,-4.0,0.0,16.5,-1.0,-2.5,-0.5,-4.5,0.5
kt,-15.0,-11.5,-20.5,-16.5,0.0,-17.5,-19.0,-17.0,-21.0,-16.0
넥센,2.5,6.0,-3.0,1.0,17.5,0.0,-1.5,0.5,-3.5,1.5
두산,4.0,7.5,-1.5,2.5,19.0,1.5,0.0,2.0,-2.0,3.0
롯데,2.0,5.5,-3.5,0.5,17.0,-0.5,-2.0,0.0,-4.0,1.0
삼성,6.0,9.5,0.5,4.5,21.0,3.5,2.0,4.0,0.0,5.0
한화,1.0,4.5,-4.5,-0.5,16.0,-1.5,-3.0,-1.0,-5.0,0.0
