Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,0.0,-1.0,-3.0,10.0,-3.0,-5.0,-2.0,-6.0,-3.0
LG,0.0,0.0,-1.0,-3.0,10.0,-3.0,-5.0,-2.0,-6.0,-3.0
NC,1.0,1.0,0.0,-2.0,11.0,-2.0,-4.0,-1.0,-5.0,-2.0
SK,3.0,3.0,2.0,0.0,13.0,0.0,-2.0,1.0,-3.0,0.0
kt,-10.0,-10.0,-11.0,-13.0,0.0,-13.0,-15.0,-12.0,-16.0,-13.0
넥센,3.0,3.0,2.0,0.0,13.0,0.0,-2.0,1.0,-3.0,0.0
두산,5.0,5.0,4.0,2.0,15.0,2.0,0.0,3.0,-1.0,2.0
롯데,2.0,2.0,1.0,-1.0,12.0,-1.0,-3.0,0.0,-4.0,-1.0
삼성,6.0,6.0,5.0,3.0,16.0,3.0,1.0,4.0,0.0,3.0
한화,3.0,3.0,2.0,0.0,13.0,0.0,-2.0,1.0,-3.0,0.0
