Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.5,-13.0,2.0,14.0,-6.5,-11.0,2.0,-15.0,-1.0
LG,-4.5,0.0,-17.5,-2.5,9.5,-11.0,-15.5,-2.5,-19.5,-5.5
NC,13.0,17.5,0.0,15.0,27.0,6.5,2.0,15.0,-2.0,12.0
SK,-2.0,2.5,-15.0,0.0,12.0,-8.5,-13.0,0.0,-17.0,-3.0
kt,-14.0,-9.5,-27.0,-12.0,0.0,-20.5,-25.0,-12.0,-29.0,-15.0
넥센,6.5,11.0,-6.5,8.5,20.5,0.0,-4.5,8.5,-8.5,5.5
두산,11.0,15.5,-2.0,13.0,25.0,4.5,0.0,13.0,-4.0,10.0
롯데,-2.0,2.5,-15.0,0.0,12.0,-8.5,-13.0,0.0,-17.0,-3.0
삼성,15.0,19.5,2.0,17.0,29.0,8.5,4.0,17.0,0.0,14.0
한화,1.0,5.5,-12.0,3.0,15.0,-5.5,-10.0,3.0,-14.0,0.0
