Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,7.5,-10.0,4.0,18.0,-3.5,-6.0,4.0,-13.0,2.0
LG,-7.5,0.0,-17.5,-3.5,10.5,-11.0,-13.5,-3.5,-20.5,-5.5
NC,10.0,17.5,0.0,14.0,28.0,6.5,4.0,14.0,-3.0,12.0
SK,-4.0,3.5,-14.0,0.0,14.0,-7.5,-10.0,0.0,-17.0,-2.0
kt,-18.0,-10.5,-28.0,-14.0,0.0,-21.5,-24.0,-14.0,-31.0,-16.0
넥센,3.5,11.0,-6.5,7.5,21.5,0.0,-2.5,7.5,-9.5,5.5
두산,6.0,13.5,-4.0,10.0,24.0,2.5,0.0,10.0,-7.0,8.0
롯데,-4.0,3.5,-14.0,0.0,14.0,-7.5,-10.0,0.0,-17.0,-2.0
삼성,13.0,20.5,3.0,17.0,31.0,9.5,7.0,17.0,0.0,15.0
한화,-2.0,5.5,-12.0,2.0,16.0,-5.5,-8.0,2.0,-15.0,0.0
