Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-11.5,-0.5,10.5,-7.0,-13.0,2.5,6.0,3.0
LG,-1.0,0.0,-12.5,-1.5,9.5,-8.0,-14.0,1.5,5.0,2.0
NC,11.5,12.5,0.0,11.0,22.0,4.5,-1.5,14.0,17.5,14.5
SK,0.5,1.5,-11.0,0.0,11.0,-6.5,-12.5,3.0,6.5,3.5
kt,-10.5,-9.5,-22.0,-11.0,0.0,-17.5,-23.5,-8.0,-4.5,-7.5
넥센,7.0,8.0,-4.5,6.5,17.5,0.0,-6.0,9.5,13.0,10.0
두산,13.0,14.0,1.5,12.5,23.5,6.0,0.0,15.5,19.0,16.0
롯데,-2.5,-1.5,-14.0,-3.0,8.0,-9.5,-15.5,0.0,3.5,0.5
삼성,-6.0,-5.0,-17.5,-6.5,4.5,-13.0,-19.0,-3.5,0.0,-3.0
한화,-3.0,-2.0,-14.5,-3.5,7.5,-10.0,-16.0,-0.5,3.0,0.0
