Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-6.5,-1.5,15.0,-5.5,-6.0,1.0,-8.0,-3.0
LG,-1.5,0.0,-8.0,-3.0,13.5,-7.0,-7.5,-0.5,-9.5,-4.5
NC,6.5,8.0,0.0,5.0,21.5,1.0,0.5,7.5,-1.5,3.5
SK,1.5,3.0,-5.0,0.0,16.5,-4.0,-4.5,2.5,-6.5,-1.5
kt,-15.0,-13.5,-21.5,-16.5,0.0,-20.5,-21.0,-14.0,-23.0,-18.0
넥센,5.5,7.0,-1.0,4.0,20.5,0.0,-0.5,6.5,-2.5,2.5
두산,6.0,7.5,-0.5,4.5,21.0,0.5,0.0,7.0,-2.0,3.0
롯데,-1.0,0.5,-7.5,-2.5,14.0,-6.5,-7.0,0.0,-9.0,-4.0
삼성,8.0,9.5,1.5,6.5,23.0,2.5,2.0,9.0,0.0,5.0
한화,3.0,4.5,-3.5,1.5,18.0,-2.5,-3.0,4.0,-5.0,0.0
