Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-4.5,-1.5,15.0,-3.5,-4.0,-1.0,-8.0,-1.0
LG,-2.5,0.0,-7.0,-4.0,12.5,-6.0,-6.5,-3.5,-10.5,-3.5
NC,4.5,7.0,0.0,3.0,19.5,1.0,0.5,3.5,-3.5,3.5
SK,1.5,4.0,-3.0,0.0,16.5,-2.0,-2.5,0.5,-6.5,0.5
kt,-15.0,-12.5,-19.5,-16.5,0.0,-18.5,-19.0,-16.0,-23.0,-16.0
넥센,3.5,6.0,-1.0,2.0,18.5,0.0,-0.5,2.5,-4.5,2.5
두산,4.0,6.5,-0.5,2.5,19.0,0.5,0.0,3.0,-4.0,3.0
롯데,1.0,3.5,-3.5,-0.5,16.0,-2.5,-3.0,0.0,-7.0,0.0
삼성,8.0,10.5,3.5,6.5,23.0,4.5,4.0,7.0,0.0,7.0
한화,1.0,3.5,-3.5,-0.5,16.0,-2.5,-3.0,0.0,-7.0,0.0
