Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.5,-6.5,-0.5,15.0,-3.5,-5.0,2.0,-6.0,-1.0
LG,-4.5,0.0,-11.0,-5.0,10.5,-8.0,-9.5,-2.5,-10.5,-5.5
NC,6.5,11.0,0.0,6.0,21.5,3.0,1.5,8.5,0.5,5.5
SK,0.5,5.0,-6.0,0.0,15.5,-3.0,-4.5,2.5,-5.5,-0.5
kt,-15.0,-10.5,-21.5,-15.5,0.0,-18.5,-20.0,-13.0,-21.0,-16.0
넥센,3.5,8.0,-3.0,3.0,18.5,0.0,-1.5,5.5,-2.5,2.5
두산,5.0,9.5,-1.5,4.5,20.0,1.5,0.0,7.0,-1.0,4.0
롯데,-2.0,2.5,-8.5,-2.5,13.0,-5.5,-7.0,0.0,-8.0,-3.0
삼성,6.0,10.5,-0.5,5.5,21.0,2.5,1.0,8.0,0.0,5.0
한화,1.0,5.5,-5.5,0.5,16.0,-2.5,-4.0,3.0,-5.0,0.0
