Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.0,-11.5,0.5,9.5,-6.0,-13.0,1.5,6.0,4.0
LG,-3.0,0.0,-14.5,-2.5,6.5,-9.0,-16.0,-1.5,3.0,1.0
NC,11.5,14.5,0.0,12.0,21.0,5.5,-1.5,13.0,17.5,15.5
SK,-0.5,2.5,-12.0,0.0,9.0,-6.5,-13.5,1.0,5.5,3.5
kt,-9.5,-6.5,-21.0,-9.0,0.0,-15.5,-22.5,-8.0,-3.5,-5.5
넥센,6.0,9.0,-5.5,6.5,15.5,0.0,-7.0,7.5,12.0,10.0
두산,13.0,16.0,1.5,13.5,22.5,7.0,0.0,14.5,19.0,17.0
롯데,-1.5,1.5,-13.0,-1.0,8.0,-7.5,-14.5,0.0,4.5,2.5
삼성,-6.0,-3.0,-17.5,-5.5,3.5,-12.0,-19.0,-4.5,0.0,-2.0
한화,-4.0,-1.0,-15.5,-3.5,5.5,-10.0,-17.0,-2.5,2.0,0.0
