Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.0,-1.0,-1.0,-1.0,-2.5,-2.5,-1.0,-1.0,2.0
LG,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
NC,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
SK,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
kt,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
넥센,2.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5,4.5
두산,2.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5,4.5
롯데,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
삼성,1.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,3.0
한화,-2.0,-3.0,-3.0,-3.0,-3.0,-4.5,-4.5,-3.0,-3.0,0.0
