Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,3.5,-10.0,-2.0,-5.5,-6.0,-4.5,-13.0,4.5
LG,-3.5,0.0,-13.5,-5.5,-9.0,-9.5,-8.0,-16.5,1.0
NC,10.0,13.5,0.0,8.0,4.5,4.0,5.5,-3.0,14.5
SK,2.0,5.5,-8.0,0.0,-3.5,-4.0,-2.5,-11.0,6.5
넥센,5.5,9.0,-4.5,3.5,0.0,-0.5,1.0,-7.5,10.0
두산,6.0,9.5,-4.0,4.0,0.5,0.0,1.5,-7.0,10.5
롯데,4.5,8.0,-5.5,2.5,-1.0,-1.5,0.0,-8.5,9.0
삼성,13.0,16.5,3.0,11.0,7.5,7.0,8.5,0.0,17.5
한화,-4.5,-1.0,-14.5,-6.5,-10.0,-10.5,-9.0,-17.5,0.0
